ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
5306,F,Ship,4,bad,146,2,medium,M,4,4348,yes
5307,A,Ship,4,good,252,3,medium,M,1,5676,yes
5308,B,Ship,3,excellent,133,3,medium,M,7,4314,no
5309,C,Ship,3,ok,207,3,low,M,7,4816,yes
5310,F,Ship,3,good,243,3,medium,M,8,5705,yes
5311,D,Ship,2,worst,219,4,low,M,7,5573,yes
5312,F,Ship,3,worst,182,2,low,F,3,5510,yes
5313,A,Ship,5,excellent,257,3,medium,F,5,5084,no
5314,B,Ship,4,bad,256,4,medium,M,4,5469,no
5315,C,Ship,3,excellent,181,4,high,F,1,4971,yes
5316,F,Ship,3,worst,219,3,medium,M,6,4893,yes
5317,D,Road,4,ok,227,2,low,M,3,4375,no
5318,F,Road,3,excellent,232,2,high,F,8,5146,no
5319,A,Road,6,good,143,4,medium,M,4,4401,no
5320,B,Road,4,ok,274,3,high,F,7,5517,no
5321,C,Road,4,good,186,3,low,F,2,4430,no
5322,F,Road,3,good,273,3,low,M,3,5163,yes
5323,D,Road,3,ok,199,3,low,M,7,5258,yes
5324,F,Road,4,good,238,3,medium,F,5,4724,yes
5325,A,Road,4,ok,175,3,medium,F,4,5784,no
5326,B,Road,4,bad,252,6,medium,M,2,5476,no
5327,C,Road,6,worst,250,3,low,M,5,5621,yes
5328,F,Road,3,bad,254,2,medium,F,10,5608,no
5329,D,Road,2,good,201,2,high,M,2,5115,no
5330,F,Road,5,worst,234,3,high,F,9,5548,no
5331,A,Road,4,bad,164,4,low,M,2,5008,no
5332,B,Road,4,worst,197,3,low,M,2,4326,no
5333,C,Road,4,ok,158,4,medium,M,7,4460,no
5334,F,Road,3,bad,158,3,medium,M,4,5335,no
5335,D,Road,5,ok,111,4,medium,F,8,4575,no
5336,F,Road,5,ok,215,3,low,F,2,4731,yes
5337,A,Road,6,ok,233,3,medium,F,9,4293,yes
5338,B,Road,4,good,204,3,medium,M,8,5614,no
5339,C,Flight,2,excellent,254,2,low,M,10,5718,yes
5340,F,Flight,5,worst,162,3,medium,F,1,5537,no
5341,D,Flight,4,worst,249,5,low,M,9,4396,no
5342,F,Flight,3,bad,151,3,low,F,7,5154,yes
5343,A,Flight,4,bad,243,2,medium,F,6,4573,no
5344,B,Flight,4,bad,181,3,low,M,4,5078,no
5345,C,Flight,4,ok,241,2,medium,F,4,5942,yes
5346,F,Flight,3,ok,175,3,low,M,2,5740,yes
5347,D,Flight,3,worst,191,2,medium,F,10,5073,no
5348,F,Flight,4,excellent,260,3,high,M,10,4919,no
5349,A,Flight,4,worst,263,4,low,M,9,4390,no
5350,B,Flight,4,worst,254,2,low,M,10,4230,yes
5351,C,Flight,5,excellent,103,6,medium,F,2,4860,no
5352,F,Flight,5,bad,254,5,medium,F,2,5655,yes
5353,D,Flight,5,good,235,2,medium,M,9,5549,no
5354,F,Flight,4,ok,167,3,medium,F,1,4621,yes
5355,A,Flight,4,excellent,140,5,medium,F,3,4191,yes
5356,B,Flight,4,worst,231,3,medium,M,2,4940,no
5357,C,Flight,2,good,144,4,low,F,8,5760,yes
5358,F,Flight,4,excellent,183,2,medium,F,2,4533,yes
5359,D,Flight,4,ok,149,3,low,F,3,5542,no
5360,F,Flight,4,good,145,2,medium,M,8,5645,yes
5361,A,Ship,3,ok,223,3,medium,F,4,5062,yes
5362,B,Ship,4,bad,251,2,low,F,10,4898,yes
5363,C,Ship,4,bad,240,3,medium,M,9,5170,yes
5364,F,Ship,4,excellent,226,5,low,F,5,4833,no
5365,D,Ship,4,worst,200,2,low,M,5,5072,yes
5366,F,Ship,3,good,213,3,high,F,4,5996,no
5367,A,Ship,3,good,166,2,low,F,10,5258,no
5368,B,Ship,5,bad,203,6,medium,F,7,5289,no
5369,C,Ship,3,good,175,2,medium,M,9,5643,yes
5370,F,Ship,4,bad,197,3,low,F,6,5826,no
5371,D,Ship,4,worst,158,3,medium,M,5,5782,no
5372,F,Ship,4,bad,257,2,low,M,7,5325,yes
5373,A,Ship,3,worst,183,2,medium,F,3,4042,no
5374,B,Ship,3,ok,254,2,medium,M,8,4890,yes
5375,C,Ship,3,worst,219,2,medium,F,10,4390,yes
5376,F,Ship,3,excellent,271,4,low,M,3,5831,yes
5377,D,Ship,4,good,236,2,medium,F,5,5266,no
5378,F,Ship,5,worst,170,4,high,M,6,5258,yes
5379,A,Ship,5,good,203,2,high,F,2,4190,yes
5380,B,Ship,3,excellent,258,3,low,M,5,4314,yes
5381,C,Ship,4,excellent,228,2,low,F,4,4783,yes
5382,F,Ship,6,ok,251,5,medium,M,8,4877,no
5383,D,Ship,3,ok,166,2,medium,M,4,4254,yes
5384,F,Ship,3,excellent,147,3,low,F,4,5042,no
5385,A,Ship,5,good,248,4,medium,F,5,4271,yes
5386,B,Ship,3,bad,238,4,low,F,7,5254,no
5387,C,Ship,4,good,219,2,medium,M,7,4604,no
5388,F,Ship,5,bad,226,3,medium,M,6,4700,yes
5389,D,Ship,3,ok,211,4,low,M,7,4733,no
5390,F,Ship,5,good,139,3,medium,F,6,5721,no
5391,A,Ship,4,bad,137,2,medium,F,2,5804,yes
5392,B,Ship,4,good,222,2,medium,M,7,4343,no
5393,C,Ship,2,ok,257,2,low,F,1,5331,yes
5394,F,Ship,5,worst,186,4,medium,M,5,5239,no
5395,D,Ship,4,bad,262,3,low,M,4,5085,no
5396,F,Ship,4,ok,248,3,low,M,5,4781,yes
5397,A,Ship,5,ok,245,3,medium,F,5,5663,no
5398,B,Ship,5,ok,202,4,low,M,6,5107,no
5399,C,Ship,4,ok,279,6,medium,M,2,5405,no
5400,F,Ship,5,worst,263,3,medium,M,6,4505,yes
5401,D,Ship,3,excellent,227,4,low,F,9,4647,no
5402,F,Ship,5,ok,245,4,high,M,8,4129,yes
5403,A,Ship,4,excellent,142,2,medium,F,7,4594,yes
5404,B,Ship,5,ok,192,3,medium,F,6,4037,yes
5405,C,Ship,4,ok,190,4,medium,M,4,4102,yes
5406,F,Ship,2,bad,146,4,low,M,4,5817,no
5407,D,Ship,4,ok,161,2,medium,M,3,4391,yes
5408,F,Ship,3,ok,192,3,low,F,1,4180,yes
5409,A,Ship,3,worst,267,3,low,M,5,5528,no
5410,B,Ship,5,excellent,186,4,medium,F,9,5592,yes
5411,C,Ship,4,bad,149,5,medium,F,8,4209,no
5412,F,Ship,4,good,246,3,low,M,2,5473,yes
5413,D,Ship,3,bad,177,4,low,F,3,5527,no
5414,F,Ship,4,excellent,199,2,low,F,8,4463,no
5415,A,Ship,5,bad,247,3,medium,F,3,4698,yes
5416,B,Ship,4,excellent,157,3,medium,F,2,4343,yes
5417,C,Ship,3,worst,202,3,medium,F,9,4322,no
5418,F,Ship,4,bad,150,3,low,M,6,5787,yes
5419,D,Ship,5,excellent,209,2,low,F,3,4348,no
5420,F,Ship,5,ok,223,3,low,M,6,5977,no
5421,A,Ship,3,ok,234,3,low,F,8,4839,yes
5422,B,Ship,6,worst,147,3,medium,F,5,4012,no
5423,C,Ship,6,excellent,201,5,medium,M,3,5771,no
5424,F,Ship,5,ok,134,2,low,M,10,5279,yes
5425,D,Ship,4,worst,229,4,low,F,3,4352,yes
5426,F,Ship,4,good,200,4,low,F,3,5583,yes
5427,A,Ship,4,good,239,3,low,M,4,4756,no
5428,B,Ship,5,good,237,6,medium,M,2,4541,no
5429,C,Ship,5,bad,121,5,medium,F,10,4790,no
5430,F,Ship,3,good,156,3,medium,M,6,5255,yes
5431,D,Ship,5,ok,195,4,low,F,9,5577,no
5432,F,Ship,4,good,261,3,high,M,9,5515,no
5433,A,Ship,2,worst,255,2,medium,M,9,5936,yes
5434,B,Ship,3,excellent,212,4,low,F,9,5791,no
5435,C,Ship,4,good,241,3,low,F,8,5206,yes
5436,F,Ship,4,excellent,266,3,medium,F,4,5928,yes
5437,D,Ship,4,excellent,253,2,low,M,8,5652,no
5438,F,Ship,4,ok,192,3,medium,F,10,5190,no
5439,A,Ship,4,good,263,4,medium,M,7,4041,yes
5440,B,Ship,4,excellent,198,6,medium,F,6,5380,no
5441,C,Ship,3,worst,225,2,high,M,6,5274,yes
5442,F,Ship,3,worst,209,2,medium,F,3,4184,no
5443,D,Ship,3,good,222,3,medium,M,3,4068,no
5444,F,Ship,3,worst,162,3,medium,F,7,5971,no
5445,A,Ship,5,worst,217,2,medium,M,6,5518,no
5446,B,Ship,3,excellent,252,4,low,F,7,5328,yes
5447,C,Ship,4,worst,236,3,low,F,4,4248,no
5448,F,Ship,4,good,113,3,medium,F,1,5610,yes
5449,D,Ship,6,good,157,6,low,F,9,5354,yes
5450,F,Ship,5,ok,169,4,low,F,4,5683,no
5451,A,Ship,5,ok,268,3,medium,F,9,4152,yes
5452,B,Ship,4,good,259,7,medium,M,7,4408,no
5453,C,Ship,3,bad,135,7,medium,F,5,4716,no
5454,F,Road,4,worst,196,5,low,M,7,5380,no
5455,D,Road,5,excellent,132,2,high,F,1,4233,no
5456,F,Road,3,excellent,256,2,medium,F,9,5750,no
5457,A,Road,3,excellent,240,8,low,M,9,4436,yes
5458,B,Road,2,ok,225,7,high,M,7,4009,yes
5459,C,Road,5,bad,205,3,low,F,3,5182,no
5460,F,Road,4,good,146,3,low,F,10,5805,no
5461,D,Road,7,ok,281,4,low,F,4,1480,no
5462,F,Road,6,good,256,4,low,F,2,1752,yes
5463,A,Road,6,bad,304,4,low,M,2,1256,yes
5464,B,Road,6,good,285,4,medium,M,9,1180,no
5465,C,Road,7,excellent,283,5,low,M,8,1578,no
5466,F,Road,6,good,304,4,low,M,6,1890,yes
5467,D,Road,6,worst,282,4,medium,M,4,1716,no
5468,F,Road,6,ok,304,5,medium,F,6,1184,no
5469,A,Road,6,excellent,301,5,medium,M,3,1628,no
5470,B,Road,7,worst,296,4,low,F,10,1230,yes
5471,C,Road,6,excellent,264,4,low,M,1,1039,yes
5472,F,Road,6,good,306,4,low,M,9,1595,no
5473,D,Road,4,worst,241,3,low,M,4,4493,yes
5474,F,Road,4,excellent,266,3,medium,M,8,4889,no
5475,A,Road,4,good,253,2,low,F,6,5892,no
5476,B,Flight,4,bad,192,3,medium,F,3,4922,no
5477,C,Flight,4,excellent,263,4,medium,F,7,4243,yes
5478,F,Flight,4,good,198,6,medium,M,9,5730,yes
5479,D,Flight,3,good,225,2,high,M,5,5997,no
5480,F,Flight,3,bad,209,2,medium,M,6,5095,yes
5481,A,Flight,3,worst,222,3,medium,F,8,4650,yes
5482,B,Flight,3,excellent,162,3,medium,M,1,4480,no
5483,C,Flight,5,good,217,2,medium,M,4,4380,yes
5484,F,Flight,3,good,252,4,low,F,10,5495,no
5485,D,Flight,4,excellent,236,3,low,M,8,4132,no
5486,F,Flight,4,excellent,113,3,medium,F,10,4053,yes
5487,A,Flight,6,worst,157,6,low,M,1,4631,yes
5488,B,Flight,5,excellent,169,4,low,F,2,4188,no
5489,C,Flight,5,excellent,268,3,medium,M,2,4459,yes
5490,F,Flight,4,worst,259,7,medium,F,4,5102,no
5491,D,Flight,3,bad,135,7,medium,M,8,4901,no
5492,F,Flight,4,good,196,5,low,F,6,4258,no
5493,A,Flight,5,excellent,132,2,high,M,6,4392,no
5494,B,Flight,3,excellent,256,2,medium,F,4,5368,yes
5495,C,Flight,3,bad,240,8,low,F,9,4908,no
5496,F,Flight,2,bad,225,7,high,M,9,4947,yes
5497,D,Flight,5,bad,205,3,low,F,2,4270,no
5498,F,Ship,4,good,146,3,low,M,10,4472,yes
5499,A,Ship,7,ok,281,4,low,M,1,1215,yes
5500,B,Ship,6,good,256,4,low,F,9,1676,no
5501,C,Ship,6,good,304,4,low,M,7,1226,yes
5502,F,Ship,6,bad,285,4,medium,M,6,1016,yes
5503,D,Ship,7,bad,283,5,low,F,10,1722,yes
5504,F,Ship,6,excellent,304,4,low,F,6,1864,yes
5505,A,Ship,6,bad,282,4,medium,M,8,1553,no
5506,B,Ship,6,ok,304,5,medium,F,10,1254,yes
5507,C,Ship,6,excellent,301,5,medium,F,7,1209,yes
5508,F,Ship,7,worst,296,4,low,M,4,1446,no
5509,D,Ship,6,excellent,264,4,low,F,4,1822,yes
5510,F,Ship,6,good,304,4,low,M,6,1342,no
5511,A,Ship,6,bad,305,4,low,M,8,1015,no
5512,B,Ship,6,bad,309,4,low,M,7,1941,no
5513,C,Ship,6,excellent,266,4,medium,F,6,1312,yes
5514,F,Ship,4,worst,233,4,low,M,2,1809,no
5515,D,Ship,5,ok,287,4,low,M,2,1437,no
5516,F,Ship,6,excellent,268,4,low,M,10,1170,no
5517,A,Ship,6,bad,290,4,medium,M,2,1070,yes
5518,B,Ship,7,good,291,4,high,M,4,1248,yes
5519,C,Ship,5,ok,227,5,medium,M,2,1965,no
5520,F,Ship,3,excellent,222,2,low,M,9,1321,no
5521,D,Ship,6,excellent,301,4,medium,F,2,1943,no
5522,F,Ship,6,bad,304,4,medium,F,10,1983,yes
5523,A,Ship,4,bad,133,3,low,M,2,1212,yes
5524,B,Ship,4,worst,218,5,low,F,5,1238,no
5525,C,Ship,5,excellent,304,5,low,F,8,1949,yes
5526,F,Ship,6,worst,260,4,medium,M,9,1698,yes
5527,D,Ship,6,excellent,252,4,low,F,9,1460,no
5528,F,Ship,4,bad,253,5,low,M,5,1812,no
5529,A,Ship,6,good,248,4,low,F,6,1851,no
5530,B,Ship,5,ok,237,5,medium,F,4,1733,yes
5531,C,Ship,5,ok,264,5,medium,F,5,1399,no
5532,F,Ship,6,worst,308,4,medium,M,1,1216,yes
5533,D,Ship,7,ok,270,4,medium,F,10,1211,no
5534,F,Ship,6,ok,269,4,medium,F,6,1822,yes
5535,A,Ship,6,worst,271,4,low,F,9,1302,no
5536,B,Ship,7,worst,244,5,medium,F,3,1418,yes
5537,C,Ship,6,bad,245,4,low,F,8,1904,no
5538,F,Ship,5,good,219,5,low,M,5,1388,yes
5539,D,Ship,6,bad,257,4,low,F,4,1929,yes
5540,F,Ship,3,ok,226,3,low,M,4,5048,no
5541,A,Ship,4,good,200,2,low,M,5,5783,no
5542,B,Ship,4,good,260,2,low,M,3,5801,no
5543,C,Ship,3,good,142,2,medium,F,7,5346,no
5544,F,Ship,5,ok,193,5,medium,M,3,5888,no
5545,D,Ship,5,bad,180,3,medium,M,1,4655,yes
5546,F,Ship,4,ok,232,3,medium,F,8,5298,yes
5547,A,Ship,3,bad,148,2,low,F,1,4133,yes
5548,B,Ship,5,ok,205,4,low,M,9,4277,no
5549,C,Ship,3,good,212,3,medium,F,3,4811,no
5550,F,Ship,3,good,168,2,medium,M,9,5235,yes
5551,D,Ship,3,excellent,145,2,low,F,2,4232,yes
5552,F,Ship,3,excellent,253,3,medium,M,9,5979,yes
5553,A,Ship,3,excellent,143,2,low,F,6,4253,no
5554,B,Ship,4,bad,267,5,low,M,9,4720,yes
5555,C,Ship,6,worst,123,5,medium,M,5,5323,yes
5556,F,Ship,5,worst,106,5,medium,F,4,4180,no
5557,D,Ship,2,bad,249,3,low,F,3,4129,yes
5558,F,Ship,5,worst,178,2,low,F,5,4369,no
5559,A,Ship,4,ok,148,4,low,F,1,4243,no
5560,B,Ship,4,worst,144,4,medium,M,6,5197,yes
5561,C,Ship,3,worst,249,2,low,F,2,5572,yes
5562,F,Ship,5,excellent,128,3,low,M,9,5143,yes
5563,D,Ship,4,good,228,4,high,M,1,5573,no
5564,F,Ship,3,good,242,2,low,F,10,5559,yes
5565,A,Ship,4,bad,272,3,medium,F,1,4933,yes
5566,B,Ship,4,worst,173,2,medium,F,8,4893,no
5567,C,Ship,3,bad,189,6,low,M,7,4329,no
5568,F,Ship,4,bad,245,2,low,M,3,4000,no
5569,D,Ship,4,worst,211,3,high,M,5,5757,yes
5570,F,Ship,2,worst,214,3,high,M,1,4391,no
5571,A,Ship,5,good,215,2,low,F,1,5669,no
5572,B,Ship,3,worst,248,2,medium,M,1,5703,no
5573,C,Ship,3,worst,225,3,medium,M,2,4284,no
5574,F,Ship,5,worst,120,3,low,M,7,4381,yes
5575,D,Ship,5,bad,243,3,low,F,8,4133,yes
5576,F,Ship,3,good,214,2,low,M,10,4794,no
5577,A,Ship,3,worst,144,3,low,F,8,5221,yes
5578,B,Ship,3,worst,242,6,low,M,10,5493,yes
5579,C,Ship,4,excellent,160,5,medium,F,3,4648,yes
5580,F,Ship,5,excellent,139,4,medium,F,3,4433,yes
5581,D,Ship,3,worst,221,4,medium,F,8,5971,no
5582,F,Ship,5,excellent,266,2,medium,M,7,5712,yes
5583,A,Ship,5,good,140,4,low,F,10,4528,no
5584,B,Ship,4,good,134,2,low,M,1,5209,yes
5585,C,Ship,3,ok,260,2,low,M,7,5738,no
5586,F,Ship,5,good,261,6,medium,F,4,5349,no
5587,D,Ship,5,bad,274,4,medium,F,7,4929,no
5588,F,Ship,4,excellent,263,3,medium,M,3,4020,no
5589,A,Ship,4,good,189,4,medium,F,9,5838,yes
5590,B,Ship,4,excellent,257,2,low,M,3,5394,no
5591,C,Road,5,excellent,195,4,medium,M,1,4482,no
5592,F,Road,2,ok,201,3,medium,M,5,5733,yes
5593,D,Road,4,good,264,4,medium,M,9,5186,no
5594,F,Road,3,bad,180,2,high,M,10,4024,no
5595,A,Road,3,worst,220,3,low,F,6,5572,yes
5596,B,Road,5,worst,113,3,medium,F,6,5509,yes
5597,C,Road,4,bad,168,2,high,F,9,5684,no
5598,F,Road,5,bad,251,3,low,M,9,4298,yes
5599,D,Road,4,bad,245,3,medium,F,2,4835,yes
5600,F,Road,4,good,164,4,medium,F,1,4365,yes
5601,A,Road,3,worst,232,2,medium,M,4,5806,yes
5602,B,Road,4,ok,138,3,high,M,2,5358,no
5603,C,Road,4,bad,233,3,low,F,3,5740,yes
5604,F,Road,4,good,150,2,medium,F,1,4711,yes
5605,D,Road,3,excellent,253,2,medium,M,7,5846,no
5606,F,Road,4,good,179,3,medium,M,5,4061,yes
5607,A,Road,5,bad,135,2,medium,M,4,5405,no
5608,B,Road,3,worst,166,2,medium,F,9,5853,yes
5609,C,Road,3,good,196,2,medium,F,5,4342,yes
5610,F,Road,4,good,238,2,low,F,4,4337,yes
5611,D,Road,2,bad,159,6,low,F,6,4044,no
5612,F,Road,3,excellent,226,2,medium,M,3,4208,yes
5613,A,Flight,5,worst,182,5,high,F,6,5398,no
5614,B,Flight,5,excellent,173,3,low,M,4,5265,yes
5615,C,Flight,3,bad,257,5,low,M,5,4130,yes
5616,F,Flight,2,ok,223,3,low,F,9,5653,no
5617,D,Flight,4,bad,194,3,low,F,3,5174,no
5618,F,Flight,5,good,281,3,low,F,10,5675,no
5619,A,Flight,5,good,236,3,medium,F,1,5711,no
5620,B,Flight,3,excellent,165,4,low,M,6,4795,yes
5621,C,Flight,4,bad,200,2,low,F,8,4222,no
5622,F,Flight,3,ok,168,4,low,F,2,4541,yes
5623,D,Flight,4,ok,266,6,medium,F,5,5209,no
5624,F,Flight,2,worst,226,2,medium,F,1,5576,no
5625,A,Flight,5,ok,143,2,medium,M,5,5612,yes
5626,B,Flight,4,bad,116,3,low,F,2,5602,yes
5627,C,Flight,4,good,139,2,high,F,9,4446,yes
5628,F,Flight,4,ok,248,2,medium,F,2,4700,no
5629,D,Flight,5,good,135,2,low,M,5,5834,no
5630,F,Flight,4,good,265,2,medium,F,9,4106,no
5631,A,Flight,5,excellent,175,6,medium,F,2,4995,yes
5632,B,Flight,6,bad,256,3,medium,M,1,4435,yes
5633,C,Flight,5,good,217,2,medium,F,3,5925,no
5634,F,Flight,4,good,203,3,medium,M,8,4443,no
5635,D,Ship,3,good,145,2,high,F,5,5513,no
5636,F,Ship,3,bad,268,3,low,M,9,4215,no
5637,A,Ship,4,excellent,206,2,medium,F,10,4437,no
5638,B,Ship,3,bad,215,3,medium,F,10,4198,yes
5639,C,Ship,4,worst,177,3,medium,F,5,4382,no
5640,F,Ship,3,ok,183,3,low,F,3,5538,no
5641,D,Ship,4,bad,227,5,medium,M,6,4618,no
5642,F,Ship,4,worst,209,4,medium,F,1,5057,no
5643,A,Ship,4,good,193,3,low,M,5,5090,yes
5644,B,Ship,4,good,144,2,low,M,5,4380,yes
5645,C,Ship,4,bad,192,3,low,F,3,4130,yes
5646,F,Ship,2,ok,247,4,low,M,5,5725,no
5647,D,Ship,3,good,199,4,medium,F,6,5207,no
5648,F,Ship,6,excellent,273,5,medium,M,10,5756,yes
5649,A,Ship,3,ok,232,4,low,F,4,4662,yes
5650,B,Ship,3,excellent,214,3,low,F,6,5319,no
5651,C,Ship,5,worst,156,2,low,M,10,5086,no
5652,F,Ship,4,ok,200,3,medium,M,5,5108,no
5653,D,Ship,3,excellent,196,3,medium,F,9,4741,yes
5654,F,Ship,5,ok,189,3,medium,F,7,5830,yes
5655,A,Ship,5,bad,266,2,low,M,3,4030,no
5656,B,Ship,4,good,198,2,medium,M,2,5725,yes
5657,C,Ship,4,excellent,144,2,low,M,2,4978,no
5658,F,Ship,4,good,217,5,medium,M,6,5891,yes
5659,D,Ship,5,worst,169,4,medium,M,4,4541,no
5660,F,Ship,3,worst,153,4,medium,F,1,4608,no
5661,A,Ship,4,good,152,2,medium,F,5,5324,no
5662,B,Ship,5,excellent,245,5,medium,F,4,4627,no
5663,C,Ship,4,bad,237,3,low,M,2,5277,no
5664,F,Ship,4,bad,266,2,low,F,8,5516,no
5665,D,Ship,4,excellent,216,4,medium,F,1,4458,yes
5666,F,Ship,3,good,186,3,medium,F,4,5501,yes
5667,A,Ship,5,ok,280,4,medium,F,4,5192,no
5668,B,Ship,4,excellent,229,2,medium,F,1,4869,no
5669,C,Ship,3,bad,225,3,low,M,3,5529,no
5670,F,Ship,3,excellent,149,3,low,F,7,4357,no
5671,D,Ship,5,excellent,200,3,low,M,6,4401,yes
5672,F,Ship,4,bad,246,3,low,F,1,5815,yes
5673,A,Ship,3,good,150,2,low,M,1,4742,no
5674,B,Ship,3,worst,175,3,medium,F,9,5797,no
5675,C,Ship,3,excellent,141,3,medium,M,10,5775,no
5676,F,Ship,3,good,102,3,medium,M,9,4111,no
5677,D,Ship,3,worst,209,3,low,F,8,4367,no
5678,F,Ship,4,good,287,6,medium,M,6,5282,no
5679,A,Ship,3,excellent,212,2,low,F,3,5761,yes
5680,B,Ship,3,good,205,3,high,F,1,5407,no
5681,C,Ship,3,worst,180,2,high,M,10,4200,no
5682,F,Ship,5,good,229,3,low,M,1,5660,no
5683,D,Ship,2,bad,182,3,high,M,6,4112,yes
5684,F,Ship,4,worst,183,3,medium,F,4,4789,no
5685,A,Ship,3,worst,212,3,medium,M,10,5759,no
5686,B,Ship,4,ok,235,6,medium,M,2,4689,no
5687,C,Ship,5,excellent,210,4,medium,M,9,5081,yes
5688,F,Ship,5,bad,111,4,medium,F,7,4424,no
5689,D,Ship,5,worst,270,4,medium,F,7,5149,no
5690,F,Ship,4,good,135,2,low,M,4,4684,no
5691,A,Ship,3,excellent,143,3,low,F,10,5021,no
5692,B,Ship,4,worst,216,2,low,F,5,5059,no
5693,C,Ship,5,worst,136,3,low,M,10,5308,no
5694,F,Ship,3,ok,145,3,low,F,10,5696,no
5695,D,Ship,5,ok,142,4,medium,F,4,5116,yes
5696,F,Ship,4,bad,175,3,medium,M,7,4874,yes
5697,A,Ship,3,worst,183,2,low,M,5,5329,yes
5698,B,Ship,3,worst,191,5,medium,M,2,4956,yes
5699,C,Ship,3,good,247,3,low,F,9,4157,no
5700,F,Ship,3,worst,170,2,low,F,2,5662,yes
5701,D,Ship,3,bad,275,2,low,F,5,5393,yes
5702,F,Ship,4,good,147,4,low,F,8,5882,no
5703,A,Ship,4,good,188,3,low,M,6,4174,yes
5704,B,Ship,5,excellent,248,2,low,M,4,5587,no
5705,C,Ship,3,worst,245,2,low,F,8,4594,yes
5706,F,Ship,4,excellent,164,3,high,M,3,4454,no
5707,D,Ship,4,bad,260,3,medium,F,3,4661,yes
5708,F,Ship,4,good,149,2,medium,F,9,4605,no
5709,A,Ship,3,bad,174,3,low,M,3,4132,no
5710,B,Ship,4,excellent,242,2,low,F,1,5682,yes
5711,C,Ship,4,worst,134,3,medium,M,7,4933,yes
5712,F,Ship,4,excellent,189,3,medium,F,3,5193,no
5713,D,Ship,6,excellent,263,7,high,M,7,5216,yes
5714,F,Ship,5,bad,280,3,high,F,8,5858,yes
5715,A,Ship,4,bad,258,7,medium,M,3,4538,yes
5716,B,Ship,4,good,179,3,high,F,1,5242,yes
5717,C,Ship,5,worst,250,4,medium,M,10,5306,yes
5718,F,Ship,4,good,212,2,medium,M,5,4774,yes
5719,D,Ship,4,ok,236,3,low,M,4,4257,yes
5720,F,Ship,3,worst,239,8,high,M,6,5023,yes
5721,A,Ship,6,ok,305,4,low,M,3,1276,no
5722,B,Ship,6,ok,309,4,low,M,5,1712,no
5723,C,Ship,6,ok,266,4,medium,M,8,1983,yes
5724,F,Ship,4,excellent,233,4,low,F,6,1495,no
5725,D,Ship,5,excellent,287,4,low,M,4,1509,yes
5726,F,Ship,6,bad,268,4,low,F,7,1274,no
5727,A,Ship,6,good,290,4,medium,M,10,1366,no
5728,B,Road,7,excellent,291,4,high,M,6,1135,no
5729,C,Road,5,excellent,227,5,medium,F,3,1687,no
5730,F,Road,4,excellent,175,3,medium,F,5,4194,no
5731,D,Road,3,ok,183,2,low,M,6,5015,no
5732,F,Road,3,good,191,5,medium,F,4,4243,yes
5733,A,Road,3,good,247,3,low,M,10,5749,yes
5734,B,Road,3,bad,170,2,low,M,2,4214,yes
5735,C,Road,3,excellent,275,2,low,F,7,4619,no
5736,F,Road,4,ok,147,4,low,F,7,4865,no
5737,D,Road,4,excellent,188,3,low,M,4,4632,no
5738,F,Road,5,worst,248,2,low,F,6,5281,no
5739,A,Road,3,ok,245,2,low,F,4,4719,yes
5740,B,Road,4,excellent,164,3,high,M,7,4657,no
5741,C,Road,4,worst,260,3,medium,M,9,5886,yes
5742,F,Road,4,bad,149,2,medium,M,8,5460,yes
5743,D,Road,3,worst,174,3,low,M,7,4318,yes
5744,F,Road,4,worst,242,2,low,F,2,5825,no
5745,A,Road,4,excellent,134,3,medium,F,4,5423,no
5746,B,Road,4,ok,189,3,medium,F,4,4410,no
5747,C,Road,6,excellent,263,7,high,M,9,5991,yes
5748,F,Road,5,ok,280,3,high,M,2,5273,no
5749,D,Road,4,good,258,7,medium,M,8,5069,no
5750,F,Flight,4,worst,179,3,high,M,5,4129,no
5751,A,Flight,5,good,250,4,medium,M,4,4531,no
5752,B,Flight,4,worst,212,2,medium,F,7,5864,no
5753,C,Flight,4,good,236,3,low,M,10,4347,yes
5754,F,Flight,3,good,239,8,high,M,4,4192,no
5755,D,Flight,6,good,305,4,low,F,7,1172,yes
5756,F,Flight,6,worst,309,4,low,F,6,1866,yes
5757,A,Flight,6,worst,266,4,medium,F,2,1862,yes
5758,B,Flight,4,bad,233,4,low,M,7,1861,no
5759,C,Flight,5,worst,287,4,low,F,4,1579,no
5760,F,Flight,6,excellent,268,4,low,F,2,1324,no
5761,D,Flight,6,worst,290,4,medium,M,6,1505,yes
5762,F,Flight,7,ok,244,5,medium,F,10,1913,yes
5763,A,Flight,6,ok,245,4,low,M,2,1158,yes
5764,B,Flight,5,good,219,5,low,M,5,1867,no
5765,C,Flight,6,ok,257,4,low,F,4,1358,yes
5766,F,Flight,6,worst,250,4,low,F,2,1783,yes
5767,D,Flight,6,worst,249,4,medium,M,2,1189,yes
5768,F,Flight,5,good,259,5,low,F,2,1627,yes
5769,A,Flight,6,good,266,4,low,M,3,1503,yes
5770,B,Flight,6,excellent,244,4,medium,F,4,1648,yes
5771,C,Flight,4,bad,239,6,low,F,7,1934,no
5772,F,Ship,4,bad,270,5,low,M,6,1520,no
5773,D,Ship,6,good,270,4,low,F,10,1199,yes
